date,open,high,low,close,volume
2022-01-03,459.0561,459.6709,457.2510,457.8186,5324085
2022-01-04,457.5555,459.1209,454.6258,457.6088,3000974
2022-01-05,459.4524,461.1332,458.4501,458.8545,3305623
2022-01-06,458.4699,458.7863,452.6242,453.4446,5703161
2022-01-07,454.8846,462.3234,454.6241,460.8506,2951043
2022-01-10,460.3117,460.7822,459.1293,460.3284,7829851
2022-01-11,459.9950,460.8841,457.6179,459.9077,5367761
2022-01-12,462.4884,473.2968,461.6500,471.1689,3896183
2022-01-13,471.0998,478.9552,471.0143,475.8417,5867947
2022-01-14,475.4209,478.6168,473.1680,477.5573,2653825
2022-01-17,478.3750,478.4676,472.2197,473.4414,5960733
2022-01-18,471.8105,472.1340,469.1453,470.3381,5857616
2022-01-19,469.0279,469.7744,465.2988,467.9414,1954471
2022-01-20,468.8941,476.3756,467.2704,475.8953,1150585
2022-01-21,476.3759,477.2746,469.7660,470.8806,3180085
2022-01-24,469.8908,475.4777,469.8366,474.8111,4972520
2022-01-25,474.5154,475.5291,466.3503,467.0495,6007589
2022-01-26,465.7334,466.0112,465.2513,465.6983,4256038
2022-01-27,464.4420,470.9951,462.5563,467.7238,5172480
2022-01-28,466.4856,467.1529,462.7356,465.3103,6792562
2022-01-31,465.3888,472.9812,464.0032,471.6248,1931364
2022-02-01,471.0434,472.1913,468.4483,471.9220,1932958
2022-02-02,470.2105,473.2543,469.2326,472.5595,4467022
2022-02-03,475.1606,475.4191,466.5986,468.8643,7892354
2022-02-04,467.2095,471.2079,464.8462,469.9616,5157297
2022-02-07,470.7228,472.6279,469.7443,471.3822,4565399
2022-02-08,471.2630,472.3033,467.5583,469.1103,4466048
2022-02-09,468.3570,470.0813,465.2288,466.3099,4755236
2022-02-10,466.5217,471.3566,466.1519,471.0241,2897376
2022-02-11,470.9610,476.3421,470.9072,476.2451,7002274
2022-02-14,476.1621,483.2541,476.0043,481.1203,1668446
2022-02-15,482.3661,483.7698,479.9971,481.1095,6029400
2022-02-16,481.9253,482.5752,476.7771,476.8731,4200464
2022-02-17,476.5196,485.1264,474.2192,484.7921,7914944
2022-02-18,484.6412,485.5567,483.7137,483.9349,4489430
2022-02-21,486.4529,491.5344,486.3750,488.9270,3866214
2022-02-22,489.1550,498.9961,486.8255,498.5987,6587481
2022-02-23,497.3860,498.4909,493.9380,495.6929,6448719
2022-02-24,496.9591,497.7169,493.1862,493.3934,1006802
2022-02-25,493.8113,495.8872,493.4047,495.6611,5788590
2022-02-28,496.3805,497.1782,494.6028,495.8593,4617181
2022-03-01,495.6500,498.5887,495.4901,498.4064,4191259
2022-03-02,497.8536,500.0210,493.4026,495.4621,4958658
2022-03-03,494.8184,497.0400,490.4002,492.3204,4795433
2022-03-04,491.5206,491.7909,488.3881,489.1922,2373511
2022-03-07,488.4147,488.9392,484.9464,486.1847,1610943
2022-03-08,486.1459,491.5533,485.1757,490.6423,1976081
2022-03-09,493.1365,498.2653,490.7790,497.7451,7551922
2022-03-10,498.3892,498.9823,494.8948,495.0498,1113737
2022-03-11,494.1372,495.9351,493.8390,494.6477,4215570
2022-03-14,495.3184,495.9609,480.8884,482.4498,4393908
2022-03-15,483.2674,491.2402,482.6963,490.6100,4029615
2022-03-16,490.8721,499.5289,489.9881,498.2941,7145328
2022-03-17,495.5598,497.8720,492.1882,493.7401,7276601
2022-03-18,493.1935,494.3718,489.2886,492.2897,7476770
2022-03-21,494.3360,503.1346,493.2907,500.5225,7268022
2022-03-22,500.1704,513.2413,500.0259,512.0758,6346674
2022-03-23,513.0699,513.2190,508.5284,510.2848,7172890
2022-03-24,510.3565,512.9126,503.3771,503.4258,5291083
2022-03-25,505.1071,509.7548,504.7826,509.0699,1540854
2022-03-28,509.7142,521.3465,508.3804,519.5636,2002003
2022-03-29,520.6584,520.9332,517.7787,520.0568,1228492
2022-03-30,521.6502,523.2578,512.9894,513.8187,5150527
2022-03-31,514.4059,515.1271,510.2349,510.6614,5944181
2022-04-01,507.7454,508.1236,504.0549,505.7150,3937898
2022-04-04,503.5390,505.4690,498.5208,499.5278,3766416
2022-04-05,497.1004,500.8111,493.8532,494.7703,3452244
2022-04-06,494.2675,494.8229,483.9597,484.4919,6410541
2022-04-07,484.8602,490.8207,483.9349,488.6981,4963793
2022-04-08,487.1104,489.5036,478.2188,479.3519,6983324
2022-04-11,479.8445,486.0097,479.7874,484.6436,5352635
2022-04-12,484.8767,485.9674,478.4513,479.1028,7107874
2022-04-13,479.4197,481.5955,471.6618,473.2083,1867126
2022-04-14,474.0008,483.2994,472.2707,482.3438,2209120
2022-04-15,484.1932,485.3680,481.2042,483.8692,3318567
2022-04-18,482.7185,491.6283,481.9134,490.2851,3297133
2022-04-19,490.4997,492.0086,486.5834,488.1089,3711463
2022-04-20,488.0791,488.2292,482.2304,482.8009,1807037
2022-04-21,482.6112,482.6641,481.0927,482.6566,2422477
2022-04-22,480.6678,481.1959,477.7713,480.6179,2291235
2022-04-25,479.9515,482.4128,477.4609,479.2608,3713515
2022-04-26,480.6502,488.5607,480.5007,488.4397,7196723
2022-04-27,490.0782,490.9400,485.9871,486.1734,3921416
2022-04-28,485.9120,490.9872,485.2002,490.5520,1797985
