date,open,high,low,close,volume
2022-01-03,378.8606,379.4587,376.1258,376.4828,3427937
2022-01-04,376.7481,377.6109,375.5019,375.6222,5460752
2022-01-05,374.9193,375.4911,371.4582,372.0122,6190120
2022-01-06,369.9107,372.1764,367.0533,368.2560,6475030
2022-01-07,367.4956,383.1328,366.4752,380.7951,6988795
2022-01-10,381.4518,390.0263,379.9961,389.4367,2502332
2022-01-11,388.5434,389.6029,382.5092,383.8810,2148099
2022-01-12,382.9901,388.5016,381.6710,388.3635,2108933
2022-01-13,388.7769,395.4990,388.2833,395.3442,3269632
2022-01-14,395.4611,402.9843,393.8857,402.7779,3469435
2022-01-17,404.1850,410.4622,402.8443,409.7185,2198086
2022-01-18,409.4559,418.5897,407.6630,415.2710,7619348
2022-01-19,414.1069,414.2480,409.7575,410.6174,1061915
2022-01-20,408.8695,409.7771,403.0934,406.5572,4556212
2022-01-21,405.9833,413.4853,403.0240,413.0873,3045763
2022-01-24,412.4020,413.1354,404.8210,404.8287,3905588
2022-01-25,405.4944,414.9788,404.0538,413.2634,5710062
2022-01-26,415.2912,419.5330,414.5898,417.8178,4817904
2022-01-27,418.4601,425.0547,418.1511,424.2464,3331010
2022-01-28,423.0423,424.8472,420.0457,423.5648,2689659
2022-01-31,422.2132,422.8280,418.2228,419.8281,2259081
2022-02-01,421.8407,422.4620,414.2609,414.8675,7135966
2022-02-02,415.0379,425.0480,414.9042,424.2866,1007455
2022-02-03,424.3084,437.7555,423.3352,435.7757,5886277
2022-02-04,438.2489,439.3395,433.9687,435.2270,2321350
2022-02-07,437.2087,439.9981,429.7375,431.4297,6468820
2022-02-08,428.3742,431.4591,425.5068,429.8479,7622011
2022-02-09,428.3530,432.5557,420.4159,420.8144,7289922
2022-02-10,421.6331,429.1369,411.9045,412.7909,7958449
2022-02-11,414.8979,415.0627,406.4762,407.0281,1541135
2022-02-14,405.8719,406.9178,401.7942,404.0598,2385403
2022-02-15,406.9315,407.1108,397.1065,398.0550,1199442
2022-02-16,399.3811,403.3688,398.5709,401.3734,6553202
2022-02-17,401.4648,412.7453,400.7367,411.5014,1033830
2022-02-18,411.1326,419.8435,411.1028,419.4411,6728226
2022-02-21,420.1777,421.3776,412.9314,414.3916,6712707
2022-02-22,413.7388,417.4147,413.6025,415.2346,6727630
2022-02-23,417.3294,419.1244,416.8875,418.8201,7482498
2022-02-24,418.6323,419.3043,417.4428,418.5291,5787719
2022-02-25,420.0520,421.8229,417.4212,418.6278,2915499
2022-02-28,417.3694,421.7535,415.3064,418.6297,3752081
2022-03-01,418.5213,418.7200,415.9226,417.8895,4667069
2022-03-02,415.5869,417.3722,407.5220,407.7870,2664848
2022-03-03,408.1106,411.1800,406.0287,409.3079,1257706
2022-03-04,409.9388,410.2603,399.2106,400.5084,7900208
2022-03-07,399.2613,399.4012,392.8820,393.1947,6313315
2022-03-08,393.4964,395.7147,391.6683,395.4699,1234448
2022-03-09,396.2479,400.7162,393.6529,397.9918,6522412
2022-03-10,399.5607,401.2834,390.2956,391.7927,6143692
2022-03-11,390.3561,392.8004,389.6362,389.7988,6522014
2022-03-14,388.5239,388.5761,385.7527,387.4068,3566900
2022-03-15,389.0116,394.7519,388.5285,392.3803,7795487
2022-03-16,393.4555,398.2805,383.6476,387.8845,1367629
2022-03-17,387.2217,393.3409,385.2894,391.6056,4796147
2022-03-18,390.9342,391.1059,390.6485,390.6652,6079771
2022-03-21,389.5960,390.0836,382.4906,383.3764,4889465
2022-03-22,384.5121,385.4258,377.1658,378.7407,2548124
2022-03-23,377.3948,382.3416,375.7320,380.3573,2128549
2022-03-24,379.2526,380.8716,377.0117,377.8371,1956374
2022-03-25,378.0323,378.8408,372.5560,372.6833,7490235
