date,open,high,low,close,volume
2022-01-03,450.5847,456.1127,448.4727,455.4008,4047704
2022-01-04,453.5714,455.1627,447.0906,448.2775,3160905
2022-01-05,445.6484,446.0794,437.4926,438.6602,4620888
2022-01-06,439.2341,440.2286,435.5897,436.6452,2094093
2022-01-07,436.8505,442.7923,435.7913,442.4870,1944508
2022-01-10,441.9007,445.6111,440.9925,445.1163,2781143
2022-01-11,445.5385,456.4203,445.0561,453.6872,5473325
2022-01-12,455.6178,458.5774,455.3263,457.3135,2083643
2022-01-13,457.5099,458.0452,450.5271,453.2532,7992762
2022-01-14,454.1042,455.9473,448.0963,450.2314,7763496
2022-01-17,452.0870,453.3047,451.9344,452.8173,4108676
2022-01-18,451.5462,452.2054,437.2643,438.1327,6409223
2022-01-19,439.2554,441.9413,436.4908,437.5683,5597900
2022-01-20,437.5404,442.1416,436.0491,440.9986,4164320
2022-01-21,440.2222,440.8440,431.5563,433.4512,6293552
2022-01-24,433.4375,433.5073,429.0456,430.7060,1599293
2022-01-25,429.2143,429.9803,425.7609,426.2644,4283043
2022-01-26,427.0771,427.4424,420.0025,423.5465,5630792
2022-01-27,423.6267,425.7386,422.2354,424.2262,5176224
2022-01-28,423.7868,424.7587,420.1749,422.6348,6088054
2022-01-31,424.8552,426.0029,423.2147,423.9254,2362062
2022-02-01,423.3589,424.7071,418.5693,418.7181,7185342
2022-02-02,419.1263,419.5351,413.4845,413.9300,6033522
2022-02-03,412.0868,416.8067,411.7363,414.6307,1566750
2022-02-04,414.1286,414.6630,405.7922,407.6591,3993072
2022-02-07,406.3534,407.5730,404.0261,407.4283,1100680
2022-02-08,408.0249,413.3882,407.3414,413.3762,5490615
2022-02-09,412.6273,415.5349,412.1642,415.2719,5378896
2022-02-10,416.2661,417.2193,416.2056,416.6119,1746291
2022-02-11,417.2718,417.5985,411.2704,411.5383,7123937
2022-02-14,412.4394,414.5625,412.3408,413.1750,3730958
2022-02-15,410.1683,416.4089,408.8992,415.7349,1227248
2022-02-16,415.2654,416.2645,413.0720,414.0452,1756458
2022-02-17,413.1070,414.3071,407.6452,407.8038,3148681
2022-02-18,407.4868,408.3630,401.0555,402.6932,7562098
2022-02-21,402.7618,402.8321,398.3223,399.2142,3548541
2022-02-22,400.4915,401.3558,396.0178,397.7861,2437394
2022-02-23,396.7142,402.8035,396.4861,401.8255,3669439
2022-02-24,402.3411,406.2150,400.8060,404.7565,4216525
2022-02-25,404.3782,410.6702,403.4815,409.1571,5944635
2022-02-28,410.5622,411.3429,409.4835,410.3365,5012568
2022-03-01,410.3756,412.8293,408.0436,411.4973,5951496
2022-03-02,412.1247,412.5195,407.3159,407.5436,5352433
2022-03-03,408.4525,412.7732,408.2981,411.9616,7173606
2022-03-04,410.6768,411.7748,409.7647,411.1974,2938783
2022-03-07,411.6916,413.0754,409.4141,410.5187,3627603
2022-03-08,409.2298,409.2927,406.5754,407.9319,6043884
2022-03-09,406.7805,408.3942,402.4133,402.5769,6127270
2022-03-10,403.4101,411.5588,403.3906,410.9363,6019835
2022-03-11,409.9060,413.1685,409.7073,412.3289,7254261
2022-03-14,414.4092,414.8747,413.2491,414.7387,1827141
2022-03-15,413.8284,420.4601,413.7342,419.8695,4059467
2022-03-16,419.7597,426.1080,419.2974,426.0468,6300486
2022-03-17,423.9934,424.4161,422.8246,423.5499,6718268
2022-03-18,423.3625,425.2746,415.2170,417.0660,5943971
2022-03-21,414.7633,416.3123,413.1385,416.0110,3212212
2022-03-22,418.0010,418.7150,414.8607,415.0113,2412081
2022-03-23,414.7784,416.2377,410.6494,411.2823,6792522
2022-03-24,410.3063,413.2144,408.3914,412.1914,6275212
2022-03-25,410.9019,411.3983,409.9902,411.1400,7688770
2022-03-28,412.5916,413.2881,408.1501,408.7305,2621061
2022-03-29,407.1224,408.4957,407.0378,407.2550,7476845
2022-03-30,406.7557,407.8392,405.3448,406.3543,4536896
2022-03-31,406.8452,407.0015,404.0334,406.2529,5727465
2022-04-01,405.8205,410.8529,404.9948,408.9067,4575009
2022-04-04,409.2400,415.0024,407.8339,414.0841,1178939
2022-04-05,415.4944,416.3811,414.4860,416.1184,7313191
2022-04-06,416.8123,419.4630,416.1632,418.4811,5878768
2022-04-07,418.5341,420.5094,413.0711,413.4785,1835143
2022-04-08,413.8888,414.8439,412.7864,413.7603,7710036
2022-04-11,413.6996,414.4976,412.5484,414.0674,3581684
2022-04-12,415.8649,422.1413,415.0414,422.0316,6333183
2022-04-13,422.8824,425.2687,414.5692,415.7701,2284496
2022-04-14,416.6319,419.0415,416.2022,418.5620,4696199
2022-04-15,419.3543,420.0796,418.6826,419.8285,2456141
2022-04-18,419.7315,421.0215,418.7002,419.1652,2398604
2022-04-19,420.7646,426.8675,417.6745,426.4242,7736568
2022-04-20,427.8014,428.4659,423.8148,425.1791,7975886
2022-04-21,424.9704,429.8983,424.4168,428.9479,7853691
2022-04-22,429.7403,430.1273,428.9958,429.0451,3951793
2022-04-25,430.7153,437.5358,429.9617,437.3019,2808029
2022-04-26,439.7756,440.9671,438.4392,439.6948,5994089
2022-04-27,439.2791,442.5818,438.9384,442.3897,4392488
2022-04-28,441.7546,442.1383,438.3307,438.9576,7891699
2022-04-29,439.5813,447.4907,438.1659,446.2588,1277222
2022-05-02,446.9000,447.7663,444.5032,445.2204,2356981
2022-05-03,444.7915,445.0500,439.0648,439.4572,2378926
2022-05-04,438.0373,439.0392,437.2037,438.5308,7626028
2022-05-05,440.1859,442.6231,434.6597,435.0863,3029341
2022-05-06,435.3604,435.5667,433.5471,434.5784,2554424
2022-05-09,433.6305,434.8325,433.0464,433.9023,4787213
2022-05-10,433.5775,435.8216,429.5593,434.9735,5160846
2022-05-11,433.2668,440.9713,432.4578,439.7266,3518171
2022-05-12,439.6776,449.3766,438.3824,447.7799,3542621
2022-05-13,445.9109,446.9492,443.8594,444.4357,7174846
2022-05-16,444.0355,444.4256,438.5984,438.7368,1559652
2022-05-17,439.5917,439.9529,432.3464,433.5745,5997179
2022-05-18,434.8215,438.9196,434.7244,438.8604,3078279
2022-05-19,438.9441,439.9525,430.9119,431.8836,4412983
2022-05-20,430.8389,433.0405,427.1506,427.3900,4900567
2022-05-23,429.8078,435.2802,427.7130,434.1464,2130007
2022-05-24,433.9397,434.6800,431.4534,433.9844,5548179
2022-05-25,434.3873,446.3185,433.5263,445.6421,7338594
2022-05-26,446.5364,448.9183,437.5937,438.8759,4830221
2022-05-27,437.9061,443.3714,437.3788,441.8872,1978465
2022-05-30,440.6851,446.5772,439.5330,445.3556,2718949
2022-05-31,447.9252,452.2613,445.8670,451.4418,5249116
2022-06-01,451.5609,452.1672,447.7231,448.2319,7439995
2022-06-02,447.1910,447.5546,440.8956,442.2505,2503510
2022-06-03,441.3194,443.1916,440.6227,443.1870,4215112
2022-06-06,442.5622,444.1467,441.1582,441.3187,1453949
2022-06-07,441.7435,447.3388,440.6389,446.4781,6808280
2022-06-08,448.5516,450.6896,448.4646,450.6890,5658875
2022-06-09,449.9236,453.8179,449.9173,452.7900,5076222
2022-06-10,451.2077,453.1322,450.8151,453.1200,3288118
2022-06-13,454.6940,455.2559,452.2388,453.0892,1947521
2022-06-14,454.1563,456.3031,451.6172,452.8681,6174998
2022-06-15,452.4068,453.2415,451.4769,451.6911,4529965
2022-06-16,450.9678,459.3648,448.2259,457.6912,3602143
2022-06-17,457.3464,463.9764,454.1822,461.6415,1018431
2022-06-20,460.1925,461.0943,453.3232,456.3848,6273839
2022-06-21,455.8149,457.4612,451.2979,453.9536,7831432
2022-06-22,452.4986,453.1694,448.3673,450.2659,7519761
2022-06-23,451.9314,451.9591,451.0493,451.9357,7642092
2022-06-24,453.8851,461.8719,453.1679,461.1109,1634632
2022-06-27,460.7875,465.8459,460.1872,464.4902,3369900
2022-06-28,463.3531,464.3235,462.2876,463.2102,1592905
2022-06-29,464.8887,467.4277,463.3037,466.7813,3129050
2022-06-30,467.8637,470.5910,460.5647,464.1761,2423068
2022-07-01,464.5267,464.8720,452.7391,455.3589,7127389
2022-07-04,456.2643,463.9744,455.4345,461.3550,1249973
2022-07-05,461.1829,466.4778,460.2778,466.0698,4248129
2022-07-06,465.9395,470.3568,464.8840,469.6566,2569883
2022-07-07,470.3518,478.4072,468.3213,477.8758,3347090
2022-07-08,476.0687,478.8366,475.1903,477.5009,7204664
2022-07-11,477.9085,478.7158,475.7683,476.1440,4247833
2022-07-12,478.4881,479.5578,471.1456,472.9311,6055291
2022-07-13,474.0024,481.2974,472.8952,480.5039,6748056
2022-07-14,480.7867,483.7188,479.4464,483.3535,7037656
2022-07-15,482.3296,482.8809,473.6172,474.2130,4976390
2022-07-18,477.1252,484.0167,474.7561,483.3894,7510411
2022-07-19,484.1429,484.2639,481.3229,481.4661,7989240
2022-07-20,480.2414,480.2667,468.8789,469.9329,4440852
2022-07-21,472.1883,472.7152,469.3892,469.4118,6784026
2022-07-22,466.7292,473.6797,465.7878,472.4775,1285571
2022-07-25,473.6960,474.4860,473.5336,473.7026,2881210
2022-07-26,475.6043,479.1309,475.4093,477.9191,1283657
2022-07-27,478.4642,487.2947,477.5779,484.5676,7517885
2022-07-28,485.4920,488.8926,484.3249,486.7684,2814257
2022-07-29,484.9064,487.4446,483.8330,484.9813,3405553
2022-08-01,486.0087,490.2295,484.1426,490.1805,3818854
2022-08-02,488.9154,490.7453,488.7082,489.7670,6408392
2022-08-03,488.0992,489.8510,483.4288,484.9718,5420965
2022-08-04,484.8182,486.4057,483.5746,485.5397,2579742
2022-08-05,486.0690,487.4280,479.9998,482.4919,2728166
2022-08-08,483.1002,488.3407,481.4856,487.5787,6952919
2022-08-09,488.2827,490.8596,487.7514,490.7762,6495282
2022-08-10,489.2040,489.2668,482.2718,484.0489,7550445
2022-08-11,484.8605,488.1976,483.5973,486.3684,5943527
2022-08-12,486.9974,487.4560,485.5549,486.4052,6452707
2022-08-15,487.0049,489.5851,485.3600,489.1201,3580095
2022-08-16,489.2756,490.4986,485.8160,487.6483,1280491
2022-08-17,488.6448,489.5895,477.4202,478.6022,4567440
2022-08-18,479.7058,479.8788,470.9638,471.0945,4348078
2022-08-19,468.5835,470.6879,467.6256,467.9765,4833978
2022-08-22,465.8552,466.7174,461.6852,464.3161,3373768
2022-08-23,466.1674,472.0995,465.6004,469.8911,2934967
2022-08-24,469.4849,470.8355,460.1372,462.6265,5989192
2022-08-25,462.7560,464.3146,458.3620,460.2898,1226002
2022-08-26,461.7562,462.3074,458.0306,460.5547,2516207
2022-08-29,461.1243,462.5252,457.7275,458.1699,5497322
2022-08-30,457.0061,459.0109,456.3295,458.7800,5113735
2022-08-31,458.8084,460.1965,456.6528,456.9142,3314839
2022-09-01,456.7692,457.8297,453.7003,454.1086,1396534
2022-09-02,454.0948,455.8398,453.1907,453.8983,4632944
2022-09-05,453.0103,455.9153,452.7951,455.6318,1934056
2022-09-06,456.4365,456.6728,450.0796,450.1470,2965666
2022-09-07,451.4384,460.4230,451.0406,458.6120,7545638
2022-09-08,458.5390,462.0128,457.8962,461.3078,6208899
2022-09-09,460.7859,462.4279,453.2479,454.1106,6036339
2022-09-12,454.9773,460.0819,454.2109,458.3259,3087564
2022-09-13,458.1541,458.4312,453.2413,454.3007,3710784
2022-09-14,453.7072,462.1092,451.9176,460.0639,2111173
2022-09-15,461.1201,463.6033,460.0427,463.3725,6962216
2022-09-16,461.3231,463.7737,459.9937,462.7003,6756963
2022-09-19,462.3399,462.8012,460.8428,461.6426,4287124
2022-09-20,462.9258,464.6228,461.7399,461.9001,4959197
2022-09-21,464.1288,467.1150,462.3810,462.4095,5059718
2022-09-22,464.3621,465.4665,459.8076,460.6017,2898199
2022-09-23,461.5673,462.6627,452.7916,453.3358,5969237
2022-09-26,454.7308,456.5638,448.4430,448.9995,1436580
2022-09-27,450.6211,454.0325,448.0422,449.0560,6262857
2022-09-28,451.0206,452.3713,443.1805,444.7207,6260256
2022-09-29,441.9022,444.6555,440.9884,442.9092,7414830
2022-09-30,440.6938,442.2040,439.3733,441.0549,2230960
2022-10-03,439.2331,439.5829,432.4294,434.7948,1542688
2022-10-04,433.5445,434.0206,431.2542,431.8394,1311570
2022-10-05,432.3277,433.9448,429.3868,432.3104,7077730
2022-10-06,431.0839,431.6234,430.0882,430.3751,2237203
2022-10-07,428.7025,431.7930,428.0428,430.7166,3946811
2022-10-10,430.8866,436.4741,430.7204,433.9765,7351158
2022-10-11,434.7472,439.8609,434.6989,439.6968,4638795
2022-10-12,440.1019,441.7078,437.4418,437.8404,3363297
2022-10-13,437.9870,441.1216,437.5509,439.9640,5247338
2022-10-14,440.4295,441.1048,435.8569,437.1417,5713493
2022-10-17,439.0018,443.1925,437.1322,440.6213,2622677
2022-10-18,441.2915,442.2622,433.7053,435.9984,1662904
2022-10-19,435.1671,438.2979,433.4826,435.7213,7240588
2022-10-20,435.7761,445.2167,434.9302,442.0208,4581347
2022-10-21,442.6888,444.1201,437.1670,439.2594,2881058
2022-10-24,440.8029,445.4983,440.3702,444.0913,5801741
2022-10-25,443.4589,444.1509,439.8663,441.2074,7469325
2022-10-26,440.8064,441.8483,438.0877,438.2965,6709628
2022-10-27,438.7382,442.2488,436.2275,442.1255,1822114
2022-10-28,445.5734,445.7649,444.2466,445.2490,4528961
2022-10-31,444.5441,449.5268,443.1897,449.2508,3844356
2022-11-01,449.3484,452.1543,447.7778,451.1255,7013272
2022-11-02,452.0086,455.0801,450.1560,454.6620,4742767
2022-11-03,455.7984,462.4272,452.2677,462.0212,7582661
2022-11-04,460.1814,460.9201,451.5714,453.6648,3867531
