date,open,high,low,close,volume
2022-01-03,239.4766,239.7516,238.2261,238.3905,3427937
2022-01-04,238.5126,238.9099,237.9457,238.0011,5460752
2022-01-05,237.6772,237.9408,236.0878,236.3438,6190120
2022-01-06,235.3728,236.4213,234.0566,234.6138,6475030
2022-01-07,234.2615,241.5074,233.7885,240.4340,6988795
2022-01-10,240.7355,244.6765,240.0674,244.4074,2502332
2022-01-11,243.9997,244.4836,241.2487,241.8773,2148099
2022-01-12,241.4691,244.0030,240.8642,243.9399,2108933
2022-01-13,244.1288,247.2054,243.9034,247.1350,3269632
2022-01-14,247.1882,250.6148,246.4720,250.5214,3469435
2022-01-17,251.1580,254.0008,250.5521,253.6659,2198086
2022-01-18,253.5476,257.6627,252.7402,256.1738,7619348
2022-01-19,255.6516,255.7149,253.7052,254.0922,1061915
2022-01-20,253.3055,253.7145,250.7079,252.2710,4556212
2022-01-21,252.0120,255.4053,250.6761,255.2264,3045763
2022-01-24,254.9185,255.2482,251.5178,251.5213,3905588
2022-01-25,251.8221,256.1091,251.1714,255.3382,5710062
2022-01-26,256.2494,258.1591,255.9347,257.3906,4817904
2022-01-27,257.6784,260.6378,257.5400,260.2772,3331010
2022-01-28,259.7399,260.5532,258.4019,259.9808,2689659
2022-01-31,259.3774,259.6521,257.6009,258.3193,2259081
2022-02-01,259.2199,259.4975,255.8386,256.1110,7135966
2022-02-02,256.1875,260.6865,256.1275,260.3468,1007455
2022-02-03,260.3565,266.3585,259.9222,265.4814,5886277
2022-02-04,266.5772,267.0596,264.6903,265.2480,2321350
2022-02-07,266.1264,267.3612,262.8239,263.5758,6468820
2022-02-08,262.2182,263.5984,260.9416,262.8818,7622011
2022-02-09,262.2169,264.0879,258.6900,258.8683,7289922
2022-02-10,259.2346,262.5899,254.8895,255.2882,7958449
2022-02-11,256.2359,256.3099,252.4594,252.7085,1541135
2022-02-14,252.1865,252.6591,250.3498,251.3749,2385403
2022-02-15,252.6742,252.7552,248.2421,248.6730,1199442
2022-02-16,249.2755,251.0917,248.9078,250.1871,6553202
2022-02-17,250.2285,255.3454,249.8984,254.7853,1033830
2022-02-18,254.6192,258.5491,254.6058,258.3689,6728226
2022-02-21,258.6988,259.2361,255.4591,256.1154,6712707
2022-02-22,255.8220,257.4814,255.7607,256.5020,6727630
2022-02-23,257.4431,258.2557,257.2449,258.1194,7482498
2022-02-24,258.0352,258.3364,257.5093,257.9963,5787719
2022-02-25,258.6791,259.4722,257.5078,258.0487,2915499
2022-02-28,257.4846,259.4579,256.5589,258.0574,3752081
2022-03-01,258.0089,258.0979,256.8508,257.7330,4667069
2022-03-02,256.7002,257.5022,253.0840,253.2037,2664848
2022-03-03,253.3498,254.7423,252.4099,253.8977,1257706
2022-03-04,254.1823,254.3273,249.3481,249.9371,7900208
2022-03-07,249.3711,249.4346,246.4800,246.6226,6313315
2022-03-08,246.7602,247.7789,245.9265,247.6674,1234448
2022-03-09,248.0217,250.0615,246.8404,248.8228,6522412
2022-03-10,249.5361,250.3186,245.3314,246.0151,6143692
2022-03-11,245.3590,246.4764,245.0370,245.1114,6522014
2022-03-14,244.5283,244.5522,243.2663,244.0241,3566900
2022-03-15,244.7592,247.3905,244.5382,246.3077,7795487
2022-03-16,246.7986,248.9997,242.3239,244.2643,1367629
2022-03-17,243.9608,246.7692,243.0754,245.9765,4796147
2022-03-18,245.6698,245.7483,245.5463,245.5539,6079771
2022-03-21,245.0652,245.2882,241.8199,242.2269,4889465
2022-03-22,242.7488,243.1683,239.3798,240.1060,2548124
2022-03-23,239.4854,241.7734,238.7180,240.8595,2128549
2022-03-24,240.3508,241.0970,239.3245,239.7053,1956374
2022-03-25,239.7954,240.1683,237.2757,237.3346,7490235
2022-03-28,237.4371,238.6429,236.8580,238.4584,4413224
2022-03-29,239.1206,239.3757,237.2728,237.9229,2400842
2022-03-30,237.4198,238.0909,234.7979,235.3570,4847611
2022-03-31,235.5154,239.4695,234.9013,238.3597,6838271
2022-04-01,238.4018,240.0139,237.3594,239.5315,6804923
2022-04-04,240.1477,240.6985,238.3091,238.8606,4877935
2022-04-05,239.8488,241.2193,236.2634,237.4468,7731482
2022-04-06,237.5551,240.9581,236.8865,240.7046,7585750
2022-04-07,240.4609,241.0518,238.2267,239.9155,6286326
2022-04-08,239.8426,240.1584,236.8530,237.2410,6685764
2022-04-11,236.6790,237.5432,234.4260,235.0385,2199213
2022-04-12,235.1534,236.4765,234.8548,235.5408,5078642
2022-04-13,235.1584,235.5451,234.5448,234.7327,4626719
2022-04-14,234.6850,234.7737,233.8403,234.2184,2956375
2022-04-15,234.6878,235.0122,232.3869,232.5220,1063990
